zone,n_cycles,mae_Inlier,mae_Type1,mae_Type2,bias_Inlier,bias_Type1,bias_Type2
0-20,20,5.016419461899162,47.0955685933431,2.497367190463202,2.503720895922157,47.0955685933431,-1.2705503159639788
20-50,30,5.5456446654872815,33.9824577331543,3.092401777643736,0.12230107261539461,33.9824577331543,-0.6784096652958668
50-100,50,5.738500627373519,16.254443308512368,2.872118969352878,1.6753944029421561,16.254443308512368,-0.05985439689791929
100-150,50,8.503539956724087,10.791384913126628,5.270828857421874,-3.463229292066275,-10.47282574971517,2.101750718720105
>150,3,13.111330920698231,26.535360124376087,12.160738990420388,-3.7694679149463686,-26.535360124376087,11.033473631151681
