experiment,model,outlier_type,mean_div,mean_abs_div,max_abs_div,div_std,div_sign_cons,early_div,late_div,div_growth_ratio,abs_div_very_early,abs_div_early,abs_div_mid,abs_div_late,abs_div_critical
Exp_001,RF,Inlier,-2.3611432203612424,3.0433709300555027,12.305500424124574,3.228717692924722,0.7320261437908497,5.753503158598158,1.5271827994279341,0.265435293477797,9.244555078289949,4.291582744414361,3.0079684211980333,1.3095230959243664,1.68194179526357
Exp_001,XGB,Inlier,1.1513032556397518,5.507685681518603,13.517019136322315,6.429866371230409,0.5359477124183006,7.419818706658828,10.351980295614542,1.3951796809165,10.220550255424115,5.339446981814347,2.4640236927213386,6.86497016478937,10.794580991780425
Exp_001,SVR,Inlier,-2.113025714851461,3.435116181284269,16.307244394482467,4.0291134329659215,0.6601307189542484,7.174002613000075,1.9757206293091618,0.27540004316822253,4.058024370226927,5.6111003394249686,1.9526174310658235,2.8563931230690067,2.476051020460131
Exp_001,LSTM,Inlier,0.9086517806184887,5.037962070914829,18.634429931640625,6.286778943054701,0.5751633986928104,8.569769458624375,3.5934565199320416,0.41931775846264896,4.058024370226927,6.390826383727351,4.169298244935877,6.347199895686297,2.01059477177688
Exp_001,CNN,Inlier,8.48546287608685,10.07685373505279,29.834419322571478,9.57318781237709,0.7712418300653595,21.82505154277151,2.8741521879614784,0.1316905108942756,19.65533984060453,16.567488290402448,9.061602995114933,5.243386252429491,2.2018225046254782
Exp_001,Transformer,Inlier,1.1142060867360266,3.929861457464326,21.110449157256312,5.564811603676713,0.5098039215686274,9.15241945252086,1.9817706808504718,0.21652970464598087,19.954976681424842,5.443804305430722,3.292864684975988,1.894193386287238,2.3872310919407362
Exp_002,RF,Inlier,-6.097547136004603,6.245581930424551,17.64613031746839,5.688835126986726,0.8562091503267975,12.949643815803316,0.7745672691516685,0.059813789488666266,13.604575755949185,11.83934578315308,5.702721047250463,0.6251850511732262,0.9450707515867333
Exp_002,XGB,Inlier,7.448492572600591,8.83341450337361,27.425181984901428,9.212571868296903,0.8169934640522876,3.477992319548676,21.40187314967637,6.1535136318108945,8.26806769288489,2.8282766687875083,4.681935077487008,17.01800890864199,22.03286806822613
Exp_002,SVR,Inlier,-2.6972398136444404,3.2172729246270166,15.15966089063322,3.7795691776062705,0.7516339869281046,8.157194863884083,0.9807209769026254,0.12022772451406794,7.026893941736034,6.024103954251455,1.7054533415893045,1.9481570682126794,1.3119749402153562
Exp_002,LSTM,Inlier,-0.375677267308282,3.3524866943351617,10.217305250694437,4.278137194512867,0.542483660130719,3.42310046406135,2.9040867108074364,0.8483790473861442,8.62060418211511,2.747742007970304,2.8954060736773797,5.337579018858419,2.239193851939887
Exp_002,CNN,Inlier,5.6369311907058135,9.6031855525162,28.46773316823075,11.095600859468247,0.6405228758169934,17.27543938211148,4.106623431356798,0.23771455767482014,7.46349460366459,12.288283729142158,9.426009297662226,9.262285043955563,4.165685153254927
Exp_002,Transformer,Inlier,3.498949997188266,5.312525088915463,16.37064738521252,6.102262628576034,0.6928104575163399,12.49788353494351,1.3005729844391885,0.10406345848901905,15.846830988755736,9.986193760672549,4.21072017482473,1.5511284537584702,0.4448147625090303
Exp_003,RF,Inlier,-3.577141464176506,4.032242519878113,19.459799902367735,5.361144649357404,0.7516339869281046,13.212685097636342,0.7340298053183957,0.055554930727116814,16.332557386495818,8.445748132263514,2.062147021485755,0.811264740314736,0.9101366742479178
Exp_003,XGB,Inlier,0.09071941784562361,3.718522920202158,15.18612080264603,5.0503164926900395,0.6535947712418301,8.356865845202181,4.430302260612139,0.5301392104021451,12.344371604527643,4.762355024586112,2.555552481952311,2.5664367925413787,4.450620643709236
Exp_003,SVR,Inlier,-2.8130807821242354,4.193666774075857,20.682160695161855,5.71255744322406,0.6339869281045751,12.778696479358766,1.030881124686107,0.08067185306038636,12.581550053358143,8.143099618874656,2.0489220651647115,2.2591444394919886,1.3255474443401922
Exp_003,LSTM,Inlier,1.12954200330681,7.8267692709660475,31.632118225097656,10.66632202037514,0.6470588235294117,20.673477019788052,3.921526316257473,0.1896887646187384,24.59577833850621,13.039536889368781,4.9890205347474925,5.4373011657309185,2.9580728632272626
Exp_003,CNN,Inlier,5.205782909056063,7.242586805421171,25.336505889892578,7.58784610636384,0.6993464052287581,9.613545836926725,3.856906813090355,0.4011950302744213,10.954990578089545,7.202705710580455,8.100135135064477,7.72762026090685,3.9140079692859118
Exp_003,Transformer,Inlier,2.4233960466814635,4.253352918423732,15.516929998933051,5.141356268393151,0.6797385620915033,9.745177052340136,2.3085150145438202,0.23688795002338828,14.442122332646838,6.1670149855839735,3.032028137837888,4.149507356811398,1.1499626322727732
Exp_004,RF,Inlier,-3.584917961000582,3.9653902163550963,14.542471317095874,4.088756270015757,0.803921568627451,7.433963484720626,0.637949526467348,0.08581553134859428,8.835640269197066,7.937024663176797,3.016422696808368,0.573369457512338,0.7662165285055039
Exp_004,XGB,Inlier,3.042694624378068,3.3898346737053795,8.983492134093083,2.61259652132342,0.8562091503267973,3.92960036602045,5.791342140727429,1.473773819548064,2.4968906219111964,3.591282186220734,2.0934109674061783,3.581506268351345,5.9737093739651765
Exp_004,SVR,Inlier,-1.0794962845858667,3.2376053898431567,13.002559222728948,3.952236367228736,0.5947712418300654,5.1859576508296525,1.0576050693362398,0.20393631042610683,3.081484868413933,4.346990586965776,3.6158466642477527,2.001777020796932,1.3956998428088412
Exp_004,LSTM,Inlier,6.2326126126254096,8.350602733001152,33.544058203308666,10.51002907188059,0.6666666666666666,24.468476963107044,3.4502693536127964,0.14100875010794608,24.414594886234113,17.471528866579856,3.572298719102314,3.1503153563535347,2.8848796757879613
Exp_004,CNN,Inlier,-10.147935468741435,11.243774381696303,28.041470738947808,9.374294841538362,0.8496732026143791,7.427139441108455,7.5916339303124065,1.0221477583002536,5.787655276526304,12.595380618283425,15.56743240824551,5.861041929077262,5.9481302685595425
Exp_004,Transformer,Inlier,5.342276875135223,6.200483554660454,24.354336586206557,6.564735517590055,0.7254901960784313,14.50410165793126,2.5129006762000277,0.1732544859009521,22.263003903161195,10.090331356814232,2.2203593220396636,8.31429725012311,0.8460760353588874
Exp_005,RF,Inlier,-4.721642132231481,6.006849589114272,18.054294881941203,6.330317454369972,0.7124183006535948,14.565857970723435,2.799435078542204,0.1921915677173918,14.83936477606097,11.388304281562252,3.8639811900366907,2.0777658981939067,2.479132114026815
Exp_005,XGB,Inlier,3.0900111395308953,5.163993819354919,13.27543438944619,5.758529060474163,0.6797385620915033,4.7783297203916355,11.268401199017092,2.3582301470174656,5.998645760586044,3.428261494572835,1.993987722561248,9.535140042604462,10.746422747235329
Exp_005,SVR,Inlier,-2.1024357743146096,3.6246121452055418,14.503026571844046,4.5931216602055445,0.6339869281045751,9.504355098404131,2.542391449874124,0.2674975233512703,6.023625637626793,6.5569279749946485,1.96064305104418,2.1151790208813663,2.3580429687592472
Exp_005,LSTM,Inlier,3.4695040363651253,5.971777948387032,16.85094917889127,6.512119064650124,0.6143790849673203,11.189278159247037,2.4596885557927193,0.2198254901510322,14.010560375481665,10.74230927020611,3.6742645705779684,3.85933182527477,1.7520849089662078
Exp_005,CNN,Inlier,-2.6957598626464243,6.728380335440085,22.82816705526838,8.217680661616125,0.5751633986928104,5.863809205796516,2.6663609769600654,0.45471482501925603,4.914536815911352,6.729881738723159,10.593480035819507,3.544297962284049,2.1100776639472074
Exp_005,Transformer,Type2,2.2768184096744415,4.3989690645624595,17.948440551757812,5.505906410830091,0.6274509803921569,9.843040722316697,4.28384578880258,0.4352156929606116,16.838380199700413,6.747309422794001,2.687118813866206,1.7223181177130273,4.956808545727702
Exp_006,RF,Inlier,-2.250152971866953,2.488245761481293,13.696514617859208,2.832495942165884,0.8562091503267975,4.584138138477223,0.5807106237142433,0.12667825579687833,11.652260341462702,3.310861695906907,2.521099353814475,1.3158890400383796,0.7335048397514653
Exp_006,XGB,Inlier,2.1735353937700603,4.881323391282603,16.34281058533574,5.864155266578447,0.6274509803921569,5.740658504695515,9.886024836324829,1.7221064148370178,12.839711148302891,3.224343206525256,3.077324083057598,6.388794164300372,10.078807800658783
Exp_006,SVR,Inlier,-1.7720366827916234,3.245790160919385,14.246535305085317,4.15788323625084,0.5620915032679739,7.342800672442538,1.065590148451273,0.1451203969692958,9.31433011668536,4.743969019126265,2.2603526354444075,2.974344633497866,1.460824126857009
Exp_006,LSTM,Inlier,2.1064139067322523,6.491653720703372,26.252888191999403,9.000646468841161,0.5163398692810458,18.0408023209067,3.644639826034226,0.20202204764533183,15.859629672009609,11.01264844686436,3.2933312991757644,5.842591098506839,2.7533704997187884
Exp_006,CNN,Inlier,0.7541352986095698,5.174531091378765,23.052506907093537,6.609859013213519,0.5228758169934641,4.5467654297510425,4.219252598660014,0.9279679508100418,12.22133418047315,3.156921472290788,7.295035498987443,4.834725673202063,4.369981783977905
Exp_006,Transformer,Type2,2.9672840312000894,3.6910245441213347,11.481969427204632,3.83534203246702,0.7516339869281046,8.297800764510214,1.9815476627935138,0.2388039577026982,9.172740023572109,6.188110219114451,1.5393040728337297,4.460023653944741,0.8518555482048283
Exp_007,RF,Inlier,-7.120070274038998,7.381542554939963,22.291251115237742,6.070622903144941,0.8758169934640523,14.844803248999966,1.041817887829499,0.07018064640901737,17.091438895989956,13.526836660199903,6.462406665294194,1.745160494524547,1.3142356553701657
Exp_007,XGB,Inlier,5.912301193842147,8.87064029709631,29.526676672509325,10.038185974468371,0.7058823529411765,6.7700173040808656,21.546167687700486,3.182586797040057,14.40968223558474,3.941952521391637,4.980524883941013,13.432880721999755,23.243431341117798
Exp_007,SVR,Inlier,-4.4120139275301975,5.096978458558533,16.525836127336078,5.029919189386891,0.7516339869281046,11.523720621214682,1.455221933805761,0.12628056351233985,11.668432591889228,8.802244121180246,3.25572841516005,3.4272948515004247,1.9557467010880203
Exp_007,LSTM,Inlier,0.06852571266171918,3.966112078546845,15.101651874115305,5.217486370025619,0.5163398692810457,7.8495190321821555,3.0215432658716677,0.38493355497116144,13.501781184011614,4.964306210489373,1.6904706758630887,6.337552004542399,2.1722200005868695
Exp_007,CNN,Inlier,5.829844841957318,8.376374830302787,41.40547752297496,10.833787957912413,0.673202614379085,18.74325784240351,5.10911139868106,0.2725839574763008,38.787054418061096,11.693947991028288,5.562365207568123,7.079317695126698,4.501449749926079
Exp_007,Transformer,Inlier,4.683873473616433,5.451144388746918,14.700309753417969,4.929681602202935,0.7647058823529411,11.026608977657416,1.5786760730353326,0.14316967947572215,11.66843259188922,10.096983574524382,3.4228207029768316,3.2258192280493447,1.3127501493034957
Exp_008,RF,Inlier,-2.780440080077523,3.5770746987804265,19.732789146136042,4.0011844209637975,0.7058823529411764,5.5984376075130795,1.5163374658113817,0.27085011428482536,14.372407504204935,4.655019028087122,4.091636458302236,1.0963485771078831,1.6975987384042974
