experiment,model,outlier_type,val_rmse_zscore,gap_ratio,gap_zscore,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred,mean_corr_with_others,min_corr_with_others,rank_in_experiment,mean_abs_div,max_abs_div,div_growth_ratio,div_sign_cons,early_div,late_div,val_rmse
Exp_001,RF,Inlier,-1.3619011125918978,1.4600168953046493,-1.20753151693613,34,0.2236842105263158,7.635780757699145,1.0980317667235766,8.149908895820758,3.868168604511741,-0.9161278880388312,0.0838721119611688,0.3364770557109492,2.4301716923964998,0.3818194569924888,-0.0816626618043842,1,3.0433709300555027,12.305500424124574,0.265435293477797,0.7320261437908497,5.753503158598158,1.527182799427934,33.835834034636505
Exp_001,XGB,Inlier,-0.359671094359774,1.7336323192903504,0.9514516406003408,34,0.2236842105263158,7.879447937011719,1.2415514619726884,7.345690993521229,3.5708950783679785,-0.818341026537755,0.181658973462245,0.3445496792251742,12.919015884399414,0.2655673971500045,-0.2634419868337058,3,5.507685681518603,13.517019136322316,1.3951796809165,0.5359477124183006,7.419818706658828,10.351980295614542,35.9179617404153
Exp_001,SVR,Inlier,-0.2672238345111211,1.2703294859723386,0.108388416663141,55,0.3618421052631579,8.85154896038675,2.6944758079905973,12.858458243470666,4.213548277432876,-0.907553586333026,0.092446413666974,0.4290778073238425,3.3878779096559413,0.3450645211171196,-0.0655705709631754,2,3.435116181284269,16.307244394482467,0.2754000431682225,0.6601307189542484,7.174002613000075,1.9757206293091616,32.680525017784284
Exp_001,LSTM,Inlier,-0.3461887406960661,1.5578195342147914,0.283419235988921,58,0.3815789473684211,12.522686004638672,2.4228313847592005,19.690039655688757,4.821544258766915,-1.0449081947398544,0.0449081947398544,0.9053589544068577,6.090789794921875,-0.0829904427150516,-0.2634419868337058,6,5.037962070914829,18.634429931640625,0.4193177584626489,0.5751633986928104,8.569769458624375,3.5934565199320416,19.26997825031409
Exp_001,CNN,Inlier,-0.4371644122660805,1.6747799005655335,-0.454338718853225,57,0.375,11.705970764160156,2.981362305189434,19.84743089557733,5.062087496312183,-1.1023344577246317,0.1023344577246314,0.8461878993241837,6.4258012771606445,0.2128491896427036,-0.0970018559992294,4,10.07685373505279,29.83441932257148,0.1316905108942756,0.7712418300653595,21.82505154277151,2.8741521879614784,19.195279113218827
Exp_001,Transformer,Inlier,-0.4677857259030726,1.8467297571828345,-0.2616361825966474,10,0.0657894736842105,3.434783935546875,1.1409556144162227,11.32841641962173,4.725495908594018,-1.022681211739179,0.022681211739179,0.4392917346615562,2.267503261566162,-0.0051968001960476,-0.1266120876292723,5,3.929861457464326,21.110449157256312,0.2165297046459808,0.5098039215686274,9.15241945252086,1.981770680850472,8.18403983345667
Exp_002,RF,Inlier,0.8041935428179291,3.756590092409288,1.5743928700618737,46,0.3026315789473684,7.888155847838682,1.7342741462134077,10.527485099242163,4.053154486882569,-0.8447937996809644,0.1552062003190356,0.4720090355139389,0.1563889423922009,0.2292048495364301,-0.4455151338464606,2,6.245581930424551,17.64613031746839,0.0598137894886662,0.8562091503267975,12.949643815803316,0.7745672691516685,35.536945866567805
Exp_002,XGB,Inlier,-0.4040006548440661,1.1398847610135765,-0.9052492261639022,0,0.0,3.088287353515625,0.699193515275654,4.6038129334025575,3.106345683463024,-0.7543795078982061,0.2456204921017939,0.194922376443193,31.11664390563965,-0.2094668506163989,-0.4455151338464606,6,8.83341450337361,27.425181984901428,6.153513631810895,0.8169934640522876,3.477992319548676,21.40187314967637,35.71700188471609
Exp_002,SVR,Inlier,-0.9208334845726208,1.3072900331927797,1.0294325570705702,55,0.3618421052631579,9.273721987132047,2.724862964602916,13.330734861699524,4.204414772092266,-0.8946034656714694,0.1053965343285305,0.4427660917260151,1.872720757723613,0.3045477954828848,-0.157333514111667,1,3.2172729246270166,15.15966089063322,0.1202277245140679,0.7516339869281046,8.157194863884083,0.9807209769026254,32.45409479904099
Exp_002,LSTM,Inlier,-0.7480889561892309,2.2670126295606208,2.339252952755145,52,0.3421052631578947,13.184551239013672,2.291803330183029,17.863275089180444,4.629534831981044,-0.9963538151682192,0.0036461848317806,0.729188439299675,3.8978641033172607,-0.0125607364669264,-0.2133509194647647,5,3.3524866943351617,10.217305250694436,0.8483790473861442,0.542483660130719,3.42310046406135,2.9040867108074364,18.162131113715617
