experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype
Exp_001,RF,33.835834034636505,23.17496060727179,1.4600168953046493,25.975251634049187,7.860582400587319,False,Inlier
Exp_001,XGB,35.9179617404153,20.71832726048742,1.7336323192903504,25.975251634049187,9.942710106366114,False,Inlier
Exp_001,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,25.975251634049187,6.705273383735097,False,Inlier
Exp_001,LSTM,19.26997825031409,12.369839912186617,1.5578195342147914,25.975251634049187,-6.705273383735097,False,Inlier
Exp_001,CNN,19.195279113218827,11.461374182205695,1.6747799005655335,25.975251634049187,-6.779972520830359,False,Inlier
Exp_001,Transformer,8.18403983345667,4.431639118623036,1.8467297571828343,25.975251634049187,-17.791211800592517,False,Inlier
Exp_002,RF,35.536945866567805,9.459894476742388,3.7565900924092883,26.765010575946707,8.771935290621098,False,Inlier
Exp_002,XGB,35.71700188471609,31.333870849327628,1.1398847610135763,26.765010575946707,8.951991308769383,False,Inlier
Exp_002,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,26.765010575946707,5.68908422309428,False,Inlier
Exp_002,LSTM,18.162131113715617,8.011482105080153,2.2670126295606208,26.765010575946707,-8.60287946223109,False,Inlier
Exp_002,CNN,21.075926352852427,12.154722926858964,1.7339701184203702,26.765010575946707,-5.68908422309428,False,Inlier
Exp_002,Transformer,14.011442685285726,4.123185192048702,3.398208431749778,26.765010575946707,-12.753567890660982,False,Inlier
Exp_003,RF,34.81187800675706,15.2012910578075,2.2900606188233867,25.29088359763415,9.520994409122913,False,Inlier
Exp_003,XGB,35.255635561810365,21.676448941667154,1.6264488550078362,25.29088359763415,9.964751964176216,False,Inlier
Exp_003,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,25.29088359763415,7.457243284825303,False,Inlier
Exp_003,LSTM,15.397980178552691,8.106526192318032,1.8994548112537084,25.29088359763415,-9.892903419081458,False,Inlier
Exp_003,CNN,17.833640312808843,9.139065705675621,1.95136361715111,25.29088359763415,-7.4572432848253065,False,Inlier
Exp_003,Transformer,6.552994010318304,5.1450293320838245,1.2736553258218706,25.29088359763415,-18.737889587315845,False,Inlier
Exp_004,RF,35.52612532964075,14.079453337810705,2.5232602770332355,27.897230096370727,7.628895233270022,False,Inlier
Exp_004,XGB,32.98090896936154,26.374142601214903,1.2505016548990036,27.897230096370727,5.0836788729908164,False,Inlier
Exp_004,SVR,32.39936443805188,24.788243679133217,1.307045584085722,27.897230096370727,4.502134341681156,False,Inlier
Exp_004,LSTM,23.395095754689567,21.2143506979853,1.10279574839457,27.897230096370727,-4.50213434168116,False,Inlier
Exp_004,CNN,21.885073712830295,14.501131737049818,1.509197634341518,27.897230096370727,-6.012156383540432,False,Inlier
Exp_004,Transformer,20.54322537691486,6.1123773168565965,3.360922323996778,27.897230096370727,-7.354004719455865,False,Inlier
Exp_005,RF,35.35989909174025,12.405664643218435,2.8503026729059426,30.111402181625287,5.248496910114966,False,Inlier
Exp_005,XGB,34.41721661908016,26.147311233961037,1.3162812922186002,30.111402181625287,4.30581443745487,False,Inlier
Exp_005,SVR,33.00488294037129,26.488572033563056,1.246004612802516,30.111402181625287,2.8934807587460014,False,Inlier
Exp_005,LSTM,20.932732520420846,16.188385103396183,1.293071074521778,30.111402181625287,-9.178669661204442,False,Inlier
Exp_005,CNN,27.217921422879286,18.14500175991139,1.500023079800032,30.111402181625287,-2.8934807587460014,False,Inlier
Exp_005,Transformer,11.091662917123376,6.160671137625088,1.800398474345307,30.111402181625287,-19.01973926450191,True,Type2
Exp_006,RF,34.44634306539539,18.73863913293123,1.8382521175115372,27.508118220284032,6.938224845111357,False,Inlier
Exp_006,XGB,36.03216810950841,21.839042014326445,1.6498969179083613,27.508118220284032,8.52404988922438,False,Inlier
Exp_006,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,27.508118220284032,4.957927347512303,False,Inlier
Exp_006,LSTM,21.059754144550364,16.079428928539993,1.3097327173834266,27.508118220284032,-6.448364075733668,False,Inlier
Exp_006,CNN,22.550190872771733,12.673903823793426,1.7792616376366217,27.508118220284032,-4.9579273475123,False,Inlier
Exp_006,Transformer,8.112535041063333,4.549866416563165,1.7830270821865806,27.508118220284032,-19.3955831792207,True,Type2
Exp_007,RF,35.841982175332184,11.782723930960534,3.04190969637785,26.479793186418362,9.362188988913822,False,Inlier
Exp_007,XGB,36.63357974644387,31.949565243337524,1.1466065177235272,26.479793186418362,10.153786560025509,False,Inlier
Exp_007,SVR,32.50359380743092,25.109428267145127,1.294477654433925,26.479793186418362,6.023800621012555,False,Inlier
Exp_007,LSTM,20.455992565405804,15.210051696408591,1.3448996080819298,26.479793186418362,-6.023800621012558,False,Inlier
Exp_007,CNN,14.798556819350557,7.594657184430607,1.9485483623524538,26.479793186418362,-11.681236367067806,False,Inlier
Exp_007,Transformer,17.216426297947443,4.249304546227172,4.051586821008954,26.479793186418362,-9.26336688847092,False,Inlier
Exp_008,RF,35.0100020002264,17.134960332714872,2.0431913071536942,26.186491221352835,8.823510778873565,False,Inlier
Exp_008,XGB,38.443606603333606,26.341201315026428,1.4594477352634376,26.186491221352835,12.257115381980771,False,Inlier
Exp_008,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,26.186491221352835,6.267603577688153,False,Inlier
Exp_008,LSTM,18.581807483017833,11.721832927810395,1.585230534973071,26.186491221352835,-7.604683738335002,False,Inlier
Exp_008,CNN,19.918887643664682,12.057206805969368,1.6520316823132781,26.186491221352835,-6.267603577688153,False,Inlier
