experiment,model,outlier_type,mean_corr_with_others,min_corr_with_others,max_corr_with_others,std_corr_with_others,rank_in_experiment
Exp_001,RF,Inlier,0.38181945699248887,-0.08166266180438428,0.7798271048139194,0.3138857326129617,1
Exp_001,XGB,Inlier,0.26556739715000455,-0.26344198683370584,0.6481919916422351,0.3365723210328944,3
Exp_001,SVR,Inlier,0.3450645211171196,-0.06557057096317546,0.7798271048139194,0.33741794254588375,2
Exp_001,LSTM,Inlier,-0.08299044271505167,-0.2634419868337058,0.08298108700079246,0.11422538476844234,6
Exp_001,CNN,Inlier,0.2128491896427036,-0.09700185599922943,0.43646101780738444,0.19940732419182688,4
Exp_001,Transformer,Inlier,-0.005196800196047671,-0.12661208762927234,0.1624983083421011,0.11502267713484923,5
Exp_002,RF,Inlier,0.2292048495364301,-0.4455151338464606,0.8506278275727395,0.5068595809907998,2
Exp_002,XGB,Inlier,-0.2094668506163989,-0.4455151338464606,-0.0500865167902364,0.14150817960018516,6
Exp_002,SVR,Inlier,0.3045477954828848,-0.15733351411166707,0.7893512480678719,0.3863971835501597,1
Exp_002,LSTM,Inlier,-0.01256073646692642,-0.21335091946476473,0.1291269817269029,0.12623769557587805,5
Exp_002,CNN,Inlier,0.0007423163809809494,-0.10780412131916238,0.1291269817269029,0.07972158575569428,4
Exp_002,Transformer,Inlier,0.20845939692260637,-0.28659496701446796,0.8506278275727395,0.48659806015977186,3
Exp_003,RF,Inlier,0.5652366050559111,-0.05089057845300714,0.8304661581264641,0.3141270565462907,1
Exp_003,XGB,Inlier,0.45509822102707637,-0.030691184942680222,0.6647366904515675,0.25233979935299466,5
Exp_003,SVR,Inlier,0.5439490836039544,0.07556741483542201,0.830466158126464,0.25078895873232415,2
Exp_003,LSTM,Inlier,0.5217184856196392,-0.016430089181034085,0.811768305635909,0.2937727559367881,4
Exp_003,CNN,Inlier,0.004148933322680845,-0.05089057845300714,0.07556741483542204,0.047521389542508514,6
Exp_003,Transformer,Inlier,0.5344461593385312,0.043189104354703606,0.8117683056359088,0.2599811040493388,3
Exp_004,RF,Inlier,0.42533152066628493,0.09614577648019931,0.7704091969879475,0.24874640072119714,1
Exp_004,XGB,Inlier,0.10843932365221712,-0.11199443744334506,0.3211227587631873,0.1643042056395324,4
Exp_004,SVR,Inlier,0.38884971768987353,0.10923407564424838,0.7704091969879475,0.25914464744227633,2
Exp_004,LSTM,Inlier,0.3316824089185763,0.04640232402971771,0.6194842290940445,0.23510861732977067,3
Exp_004,CNN,Inlier,0.07258646963922699,-0.11199443744334509,0.42561198473365863,0.1963333283044781,5
Exp_004,Transformer,Inlier,0.059375685511350196,-0.10632159876814472,0.2190176516770815,0.12118443917501685,6
Exp_005,RF,Inlier,0.23017053502472212,-0.04468653189284516,0.8003991996606971,0.2992993593397946,2
Exp_005,XGB,Inlier,0.04235552334567092,-0.5934621046058491,0.5992018446770375,0.4015439819031981,5
Exp_005,SVR,Inlier,0.24615335213350206,-0.33610109108107566,0.8003991996606971,0.3605932611077868,1
Exp_005,LSTM,Inlier,0.07760147688709822,-0.16963686094091118,0.29289783376269907,0.19949675339723888,4
Exp_005,CNN,Inlier,-0.2919427157420819,-0.5934621046058491,-0.04468653189284516,0.18413511621066864,6
