experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae
Exp_001,RF,33.835834034636505,23.17496060727179,1.4600168953046493,25.975251634049187,7.860582400587319,False,Inlier,-1.3619011125918978,-1.20753151693613,3.774045872422968
Exp_001,XGB,35.9179617404153,20.71832726048742,1.7336323192903504,25.975251634049187,9.942710106366114,False,Inlier,-0.359671094359774,0.9514516406003408,7.540670351265303
Exp_001,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,25.975251634049187,6.705273383735097,False,Inlier,-0.2672238345111211,0.10838841666314102,5.164058546551022
Exp_001,LSTM,19.26997825031409,12.369839912186617,1.5578195342147914,25.975251634049187,-6.705273383735097,False,Inlier,-0.3461887406960661,0.28341923598892105,5.262345722298217
Exp_001,CNN,19.195279113218827,11.461374182205695,1.6747799005655335,25.975251634049187,-6.779972520830359,False,Inlier,-0.43716441226608055,-0.454338718853225,10.217847830329845
Exp_001,Transformer,8.18403983345667,4.431639118623036,1.8467297571828343,25.975251634049187,-17.791211800592517,False,Inlier,-0.4677857259030726,-0.2616361825966474,3.555520090402341
Exp_002,RF,35.536945866567805,9.459894476742388,3.7565900924092883,26.765010575946707,8.771935290621098,False,Inlier,0.8041935428179291,1.5743928700618737,7.557567053661458
Exp_002,XGB,35.71700188471609,31.333870849327628,1.1398847610135763,26.765010575946707,8.951991308769383,False,Inlier,-0.4040006548440661,-0.9052492261639022,10.495310602624432
Exp_002,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,26.765010575946707,5.68908422309428,False,Inlier,-0.9208334845726209,1.0294325570705702,5.595758459339268
Exp_002,LSTM,18.162131113715617,8.011482105080153,2.2670126295606208,26.765010575946707,-8.60287946223109,False,Inlier,-0.7480889561892309,2.339252952755145,5.068778759513805
Exp_002,CNN,21.075926352852427,12.154722926858964,1.7339701184203702,26.765010575946707,-5.68908422309428,False,Inlier,0.029916338290779904,-0.31905024021928957,9.356179146984823
Exp_002,Transformer,14.011442685285726,4.123185192048702,3.398208431749778,26.765010575946707,-12.753567890660982,False,Inlier,1.2706595982232667,1.9291210765918319,2.925410738178328
Exp_003,RF,34.81187800675706,15.2012910578075,2.2900606188233867,25.29088359763415,9.520994409122913,False,Inlier,-0.11906475593977385,-0.20206873454252638,5.111483830841414
Exp_003,XGB,35.255635561810365,21.676448941667154,1.6264488550078362,25.29088359763415,9.964751964176216,False,Inlier,-0.5057730523485551,0.616279515238317,4.818719938689587
Exp_003,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,25.29088359763415,7.457243284825303,False,Inlier,-0.07208543222951305,0.11505356904822187,5.1687109644472695
Exp_003,LSTM,15.397980178552691,8.106526192318032,1.8994548112537084,25.29088359763415,-9.892903419081458,False,Inlier,-1.7508562331878907,1.2737635103235228,9.528365746043086
Exp_003,CNN,17.833640312808843,9.139065705675621,1.95136361715111,25.29088359763415,-7.4572432848253065,False,Inlier,-0.7753433431573132,0.17783652205483988,8.036285489213233
