experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_011,XGB,Inlier,5,,,0.005,0.6,0.8,2.0,1.0,,,,,,,,,,,
Exp_011,SVR,Inlier,,,,,,,,,80.0,0.5,,,,,,,,,
Exp_011,LSTM,Inlier,,,,,,,,,,,48,0.1,0.001,0.001,,,,,
Exp_011,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,48,3,,,
Exp_011,Transformer,Inlier,,,,,,,,,,,,0.1,,0.0005,,,4,32,2
Exp_012,RF,Inlier,10,20,0.6,,,,,,,,,,,,,,,,
Exp_012,XGB,Inlier,5,,,0.03,0.7,0.7,2.0,5.0,,,,,,,,,,,
Exp_012,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_012,LSTM,Inlier,,,,,,,,,,,24,0.3,0.01,0.001,,,,,
Exp_012,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,32,7,,,
Exp_012,Transformer,Type2,,,,,,,,,,,,0.4,,0.001,,,2,16,1
Exp_013,RF,Inlier,6,15,0.7,,,,,,,,,,,,,,,,
Exp_013,XGB,Inlier,4,,,0.015,0.9,0.7,5.0,3.0,,,,,,,,,,,
Exp_013,SVR,Inlier,,,,,,,,,10.0,2.0,,,,,,,,,
Exp_013,LSTM,Inlier,,,,,,,,,,,32,0.1,0.005,0.001,,,,,
Exp_013,CNN,Inlier,,,,,,,,,,,,0.3,0.01,,24,3,,,
Exp_013,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,32,2
Exp_014,RF,Inlier,15,40,0.4,,,,,,,,,,,,,,,,
Exp_014,XGB,Inlier,4,,,0.005,0.6,0.8,2.0,8.0,,,,,,,,,,,
Exp_014,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_014,LSTM,Inlier,,,,,,,,,,,16,0.3,0.01,0.001,,,,,
Exp_014,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,24,7,,,
Exp_014,Transformer,Inlier,,,,,,,,,,,,0.1,,0.001,,,4,48,1
Exp_015,RF,Inlier,15,10,0.3,,,,,,,,,,,,,,,,
Exp_015,XGB,Inlier,4,,,0.03,0.6,0.9,2.0,3.0,,,,,,,,,,,
Exp_015,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_015,LSTM,Inlier,,,,,,,,,,,24,0.3,0.02,0.002,,,,,
Exp_015,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,16,7,,,
Exp_015,Transformer,Inlier,,,,,,,,,,,,0.2,,0.002,,,4,32,2
Exp_016,RF,Inlier,12,20,0.4,,,,,,,,,,,,,,,,
Exp_016,XGB,Inlier,6,,,0.03,0.6,0.9,0.5,5.0,,,,,,,,,,,
Exp_016,SVR,Inlier,,,,,,,,,100.0,0.5,,,,,,,,,
Exp_016,LSTM,Inlier,,,,,,,,,,,48,0.4,0.005,0.0005,,,,,
Exp_016,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,16,7,,,
Exp_016,Transformer,Type2,,,,,,,,,,,,0.4,,0.001,,,2,24,1
Exp_017,RF,Inlier,15,10,0.3,,,,,,,,,,,,,,,,
