experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_051,XGB,Inlier,4,,,0.03,0.9,0.9,2.0,10.0,,,,,,,,,,,
Exp_051,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_051,LSTM,Inlier,,,,,,,,,,,32,0.4,0.02,0.001,,,,,
Exp_051,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,48,5,,,
Exp_051,Transformer,Inlier,,,,,,,,,,,,0.4,,0.001,,,4,48,1
Exp_052,RF,Inlier,8,10,0.3,,,,,,,,,,,,,,,,
Exp_052,XGB,Inlier,6,,,0.015,0.6,0.9,0.5,3.0,,,,,,,,,,,
Exp_052,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_052,LSTM,Inlier,,,,,,,,,,,32,0.4,0.02,0.001,,,,,
Exp_052,CNN,Inlier,,,,,,,,,,,,0.4,0.005,,64,7,,,
Exp_052,Transformer,Inlier,,,,,,,,,,,,0.3,,0.001,,,4,48,2
Exp_053,RF,Inlier,15,15,0.7,,,,,,,,,,,,,,,,
Exp_053,XGB,Inlier,6,,,0.01,0.6,0.7,0.5,8.0,,,,,,,,,,,
Exp_053,SVR,Inlier,,,,,,,,,50.0,2.0,,,,,,,,,
Exp_053,LSTM,Inlier,,,,,,,,,,,24,0.1,0.001,0.001,,,,,
Exp_053,CNN,Inlier,,,,,,,,,,,,0.2,0.001,,64,3,,,
Exp_053,Transformer,Inlier,,,,,,,,,,,,0.3,,0.001,,,4,16,1
Exp_054,RF,Inlier,15,15,0.3,,,,,,,,,,,,,,,,
Exp_054,XGB,Inlier,5,,,0.03,0.9,0.8,2.0,8.0,,,,,,,,,,,
Exp_054,SVR,Inlier,,,,,,,,,100.0,0.5,,,,,,,,,
Exp_054,LSTM,Inlier,,,,,,,,,,,16,0.4,0.001,0.002,,,,,
Exp_054,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,32,3,,,
Exp_054,Transformer,Inlier,,,,,,,,,,,,0.3,,0.001,,,2,64,2
Exp_055,RF,Inlier,8,20,0.7,,,,,,,,,,,,,,,,
Exp_055,XGB,Type1,5,,,0.01,0.8,0.6,5.0,5.0,,,,,,,,,,,
Exp_055,SVR,Inlier,,,,,,,,,50.0,1.0,,,,,,,,,
Exp_055,LSTM,Inlier,,,,,,,,,,,48,0.5,0.02,0.0005,,,,,
Exp_055,CNN,Inlier,,,,,,,,,,,,0.2,0.005,,48,5,,,
Exp_055,Transformer,Inlier,,,,,,,,,,,,0.3,,0.0005,,,4,64,2
Exp_056,RF,Inlier,12,20,0.7,,,,,,,,,,,,,,,,
Exp_056,XGB,Inlier,4,,,0.005,0.8,0.9,5.0,1.0,,,,,,,,,,,
Exp_056,SVR,Inlier,,,,,,,,,50.0,2.0,,,,,,,,,
Exp_056,LSTM,Inlier,,,,,,,,,,,48,0.2,0.02,0.001,,,,,
Exp_056,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,32,3,,,
Exp_056,Transformer,Type2,,,,,,,,,,,,0.2,,0.001,,,4,16,2
Exp_057,RF,Inlier,10,15,0.3,,,,,,,,,,,,,,,,
Exp_057,XGB,Inlier,6,,,0.005,0.9,0.8,2.0,5.0,,,,,,,,,,,
Exp_057,SVR,Inlier,,,,,,,,,10.0,1.0,,,,,,,,,
Exp_057,LSTM,Inlier,,,,,,,,,,,16,0.1,0.005,0.0005,,,,,
Exp_057,CNN,Inlier,,,,,,,,,,,,0.2,0.005,,32,3,,,
Exp_057,Transformer,Type2,,,,,,,,,,,,0.4,,0.0005,,,2,24,1
Exp_058,RF,Inlier,10,40,0.4,,,,,,,,,,,,,,,,
Exp_058,XGB,Inlier,5,,,0.03,0.9,0.7,1.0,5.0,,,,,,,,,,,
Exp_058,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_058,LSTM,Inlier,,,,,,,,,,,24,0.2,0.01,0.0005,,,,,
Exp_058,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,64,7,,,
Exp_058,Transformer,Type2,,,,,,,,,,,,0.4,,0.001,,,4,64,2
Exp_059,RF,Inlier,8,10,0.3,,,,,,,,,,,,,,,,
Exp_059,XGB,Inlier,5,,,0.03,0.6,0.8,2.0,8.0,,,,,,,,,,,
Exp_059,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_059,LSTM,Inlier,,,,,,,,,,,16,0.2,0.001,0.001,,,,,
Exp_059,CNN,Inlier,,,,,,,,,,,,0.3,0.02,,24,7,,,
Exp_059,Transformer,Type2,,,,,,,,,,,,0.1,,0.0005,,,2,24,2
Exp_060,RF,Inlier,15,15,0.6,,,,,,,,,,,,,,,,
Exp_060,XGB,Inlier,4,,,0.02,0.9,0.7,5.0,10.0,,,,,,,,,,,
Exp_060,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_060,LSTM,Inlier,,,,,,,,,,,16,0.3,0.005,0.0005,,,,,
Exp_060,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,32,5,,,
Exp_060,Transformer,Inlier,,,,,,,,,,,,0.4,,0.002,,,4,48,1
Exp_061,RF,Inlier,6,10,0.4,,,,,,,,,,,,,,,,
Exp_061,XGB,Inlier,5,,,0.02,0.9,0.7,0.5,1.0,,,,,,,,,,,
Exp_061,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_061,LSTM,Inlier,,,,,,,,,,,64,0.3,0.005,0.001,,,,,
Exp_061,CNN,Inlier,,,,,,,,,,,,0.1,0.001,,48,3,,,
Exp_061,Transformer,Type2,,,,,,,,,,,,0.1,,0.0005,,,4,64,2
Exp_062,RF,Inlier,8,20,0.4,,,,,,,,,,,,,,,,
Exp_062,XGB,Inlier,3,,,0.03,0.8,0.7,5.0,1.0,,,,,,,,,,,
Exp_062,SVR,Inlier,,,,,,,,,30.0,1.0,,,,,,,,,
Exp_062,LSTM,Inlier,,,,,,,,,,,16,0.1,0.005,0.0005,,,,,
Exp_062,CNN,Inlier,,,,,,,,,,,,0.1,0.001,,32,7,,,
Exp_062,Transformer,Type2,,,,,,,,,,,,0.1,,0.002,,,4,48,1
Exp_063,RF,Inlier,15,20,0.4,,,,,,,,,,,,,,,,
Exp_063,XGB,Inlier,5,,,0.005,0.7,0.7,0.5,3.0,,,,,,,,,,,
Exp_063,SVR,Inlier,,,,,,,,,30.0,1.0,,,,,,,,,
Exp_063,LSTM,Inlier,,,,,,,,,,,32,0.2,0.02,0.001,,,,,
Exp_063,CNN,Inlier,,,,,,,,,,,,0.2,0.001,,64,7,,,
Exp_063,Transformer,Inlier,,,,,,,,,,,,0.4,,0.001,,,2,32,2
Exp_064,RF,Inlier,6,30,0.3,,,,,,,,,,,,,,,,
Exp_064,XGB,Inlier,4,,,0.02,0.6,0.9,1.0,1.0,,,,,,,,,,,
Exp_064,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_064,LSTM,Inlier,,,,,,,,,,,16,0.5,0.001,0.0005,,,,,
Exp_064,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,64,3,,,
Exp_064,Transformer,Inlier,,,,,,,,,,,,0.3,,0.0005,,,2,32,2
Exp_065,RF,Inlier,15,20,0.3,,,,,,,,,,,,,,,,
Exp_065,XGB,Inlier,3,,,0.005,0.8,0.8,1.0,3.0,,,,,,,,,,,
Exp_065,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_065,LSTM,Inlier,,,,,,,,,,,32,0.4,0.005,0.0005,,,,,
Exp_065,CNN,Inlier,,,,,,,,,,,,0.4,0.02,,64,7,,,
Exp_065,Transformer,Inlier,,,,,,,,,,,,0.3,,0.002,,,2,32,1
Exp_066,RF,Inlier,8,30,0.7,,,,,,,,,,,,,,,,
Exp_066,XGB,Inlier,4,,,0.01,0.6,0.9,2.0,5.0,,,,,,,,,,,
Exp_066,SVR,Inlier,,,,,,,,,10.0,1.0,,,,,,,,,
Exp_066,LSTM,Inlier,,,,,,,,,,,32,0.4,0.001,0.001,,,,,
Exp_066,CNN,Inlier,,,,,,,,,,,,0.3,0.005,,24,3,,,
Exp_066,Transformer,Type2,,,,,,,,,,,,0.4,,0.0005,,,4,48,2
Exp_067,RF,Inlier,6,30,0.6,,,,,,,,,,,,,,,,
Exp_067,XGB,Inlier,4,,,0.02,0.9,0.6,5.0,1.0,,,,,,,,,,,
Exp_067,SVR,Inlier,,,,,,,,,100.0,1.5,,,,,,,,,
Exp_067,LSTM,Inlier,,,,,,,,,,,24,0.4,0.02,0.0005,,,,,
Exp_067,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,16,7,,,
Exp_067,Transformer,Inlier,,,,,,,,,,,,0.1,,0.002,,,4,24,1
Exp_068,RF,Inlier,15,15,0.3,,,,,,,,,,,,,,,,
Exp_068,XGB,Inlier,3,,,0.01,0.9,0.6,2.0,8.0,,,,,,,,,,,
Exp_068,SVR,Inlier,,,,,,,,,100.0,0.5,,,,,,,,,
Exp_068,LSTM,Inlier,,,,,,,,,,,32,0.5,0.01,0.001,,,,,
Exp_068,CNN,Inlier,,,,,,,,,,,,0.3,0.02,,24,3,,,
Exp_068,Transformer,Type2,,,,,,,,,,,,0.3,,0.0005,,,2,16,2
Exp_069,RF,Inlier,10,10,0.4,,,,,,,,,,,,,,,,
Exp_069,XGB,Inlier,6,,,0.005,0.7,0.8,0.5,8.0,,,,,,,,,,,
Exp_069,SVR,Inlier,,,,,,,,,30.0,1.5,,,,,,,,,
Exp_069,LSTM,Type2,,,,,,,,,,,64,0.5,0.001,0.0005,,,,,
Exp_069,CNN,Inlier,,,,,,,,,,,,0.1,0.001,,16,5,,,
Exp_069,Transformer,Type2,,,,,,,,,,,,0.1,,0.001,,,2,24,2
Exp_070,RF,Inlier,12,20,0.6,,,,,,,,,,,,,,,,
Exp_070,XGB,Inlier,6,,,0.03,0.9,0.7,2.0,8.0,,,,,,,,,,,
Exp_070,SVR,Inlier,,,,,,,,,80.0,1.5,,,,,,,,,
Exp_070,LSTM,Inlier,,,,,,,,,,,24,0.4,0.01,0.002,,,,,
Exp_070,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,16,5,,,
Exp_070,Transformer,Type2,,,,,,,,,,,,0.2,,0.002,,,2,32,2
Exp_071,RF,Inlier,15,30,0.4,,,,,,,,,,,,,,,,
Exp_071,XGB,Inlier,3,,,0.03,0.6,0.9,1.0,5.0,,,,,,,,,,,
Exp_071,SVR,Inlier,,,,,,,,,10.0,1.5,,,,,,,,,
Exp_071,LSTM,Inlier,,,,,,,,,,,32,0.1,0.005,0.002,,,,,
Exp_071,CNN,Inlier,,,,,,,,,,,,0.3,0.001,,24,3,,,
Exp_071,Transformer,Inlier,,,,,,,,,,,,0.1,,0.002,,,2,32,2
Exp_072,RF,Inlier,15,30,0.4,,,,,,,,,,,,,,,,
Exp_072,XGB,Inlier,6,,,0.03,0.9,0.9,0.5,3.0,,,,,,,,,,,
Exp_072,SVR,Inlier,,,,,,,,,50.0,1.5,,,,,,,,,
Exp_072,LSTM,Inlier,,,,,,,,,,,16,0.4,0.01,0.002,,,,,
Exp_072,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,32,7,,,
Exp_072,Transformer,Inlier,,,,,,,,,,,,0.3,,0.001,,,2,32,2
Exp_073,RF,Inlier,8,20,0.6,,,,,,,,,,,,,,,,
Exp_073,XGB,Type1,3,,,0.015,0.9,0.9,2.0,10.0,,,,,,,,,,,
Exp_073,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_073,LSTM,Inlier,,,,,,,,,,,24,0.5,0.02,0.001,,,,,
Exp_073,CNN,Inlier,,,,,,,,,,,,0.4,0.02,,64,7,,,
Exp_073,Transformer,Type2,,,,,,,,,,,,0.1,,0.0005,,,4,48,2
Exp_074,RF,Inlier,12,20,0.7,,,,,,,,,,,,,,,,
Exp_074,XGB,Inlier,4,,,0.02,0.8,0.7,1.0,8.0,,,,,,,,,,,
Exp_074,SVR,Inlier,,,,,,,,,50.0,1.0,,,,,,,,,
Exp_074,LSTM,Inlier,,,,,,,,,,,16,0.1,0.005,0.001,,,,,
Exp_074,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,24,5,,,
Exp_074,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,32,1
Exp_075,RF,Inlier,6,20,0.6,,,,,,,,,,,,,,,,
Exp_075,XGB,Inlier,3,,,0.01,0.7,0.8,0.5,3.0,,,,,,,,,,,
Exp_075,SVR,Inlier,,,,,,,,,50.0,2.0,,,,,,,,,
Exp_075,LSTM,Inlier,,,,,,,,,,,24,0.2,0.005,0.0005,,,,,
Exp_075,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,64,3,,,
Exp_075,Transformer,Type2,,,,,,,,,,,,0.1,,0.0005,,,2,64,2
Exp_076,RF,Inlier,12,30,0.5,,,,,,,,,,,,,,,,
Exp_076,XGB,Inlier,4,,,0.005,0.7,0.7,0.5,1.0,,,,,,,,,,,
Exp_076,SVR,Inlier,,,,,,,,,100.0,0.5,,,,,,,,,
Exp_076,LSTM,Inlier,,,,,,,,,,,24,0.2,0.001,0.0005,,,,,
Exp_076,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,24,7,,,
Exp_076,Transformer,Type2,,,,,,,,,,,,0.4,,0.0005,,,2,32,1
Exp_077,RF,Inlier,6,40,0.4,,,,,,,,,,,,,,,,
Exp_077,XGB,Inlier,6,,,0.02,0.6,0.9,2.0,10.0,,,,,,,,,,,
Exp_077,SVR,Inlier,,,,,,,,,30.0,1.5,,,,,,,,,
Exp_077,LSTM,Inlier,,,,,,,,,,,32,0.1,0.02,0.002,,,,,
Exp_077,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,48,5,,,
Exp_077,Transformer,Type2,,,,,,,,,,,,0.1,,0.001,,,2,64,2
Exp_078,RF,Inlier,12,30,0.4,,,,,,,,,,,,,,,,
Exp_078,XGB,Inlier,3,,,0.015,0.6,0.7,1.0,1.0,,,,,,,,,,,
Exp_078,SVR,Inlier,,,,,,,,,100.0,1.0,,,,,,,,,
Exp_078,LSTM,Inlier,,,,,,,,,,,64,0.3,0.001,0.002,,,,,
Exp_078,CNN,Inlier,,,,,,,,,,,,0.1,0.001,,16,7,,,
Exp_078,Transformer,Type2,,,,,,,,,,,,0.3,,0.001,,,2,64,1
Exp_079,RF,Inlier,15,30,0.3,,,,,,,,,,,,,,,,
Exp_079,XGB,Inlier,6,,,0.02,0.7,0.6,0.5,10.0,,,,,,,,,,,
Exp_079,SVR,Inlier,,,,,,,,,80.0,1.0,,,,,,,,,
Exp_079,LSTM,Inlier,,,,,,,,,,,16,0.3,0.001,0.0005,,,,,
Exp_079,CNN,Inlier,,,,,,,,,,,,0.1,0.02,,64,7,,,
Exp_079,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,16,1
Exp_080,RF,Inlier,6,10,0.7,,,,,,,,,,,,,,,,
Exp_080,XGB,Type1,6,,,0.015,0.8,0.7,2.0,5.0,,,,,,,,,,,
Exp_080,SVR,Inlier,,,,,,,,,10.0,2.0,,,,,,,,,
Exp_080,LSTM,Inlier,,,,,,,,,,,16,0.4,0.005,0.001,,,,,
Exp_080,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,24,5,,,
Exp_080,Transformer,Type2,,,,,,,,,,,,0.1,,0.0005,,,4,24,1
Exp_081,RF,Inlier,10,40,0.7,,,,,,,,,,,,,,,,
Exp_081,XGB,Inlier,5,,,0.01,0.9,0.7,1.0,1.0,,,,,,,,,,,
Exp_081,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_081,LSTM,Inlier,,,,,,,,,,,24,0.3,0.02,0.0005,,,,,
Exp_081,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,16,3,,,
Exp_081,Transformer,Inlier,,,,,,,,,,,,0.4,,0.0005,,,2,16,1
Exp_082,RF,Inlier,10,20,0.5,,,,,,,,,,,,,,,,
Exp_082,XGB,Inlier,3,,,0.01,0.6,0.9,0.5,3.0,,,,,,,,,,,
Exp_082,SVR,Inlier,,,,,,,,,80.0,0.5,,,,,,,,,
Exp_082,LSTM,Inlier,,,,,,,,,,,64,0.5,0.001,0.002,,,,,
Exp_082,CNN,Inlier,,,,,,,,,,,,0.2,0.005,,64,7,,,
Exp_082,Transformer,Type2,,,,,,,,,,,,0.2,,0.002,,,4,48,1
Exp_083,RF,Inlier,12,30,0.6,,,,,,,,,,,,,,,,
Exp_083,XGB,Inlier,3,,,0.03,0.9,0.9,2.0,3.0,,,,,,,,,,,
Exp_083,SVR,Inlier,,,,,,,,,10.0,2.0,,,,,,,,,
Exp_083,LSTM,Inlier,,,,,,,,,,,48,0.4,0.02,0.0005,,,,,
Exp_083,CNN,Inlier,,,,,,,,,,,,0.3,0.005,,24,7,,,
Exp_083,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,16,2
Exp_084,RF,Inlier,10,30,0.3,,,,,,,,,,,,,,,,
Exp_084,XGB,Inlier,5,,,0.01,0.9,0.6,2.0,10.0,,,,,,,,,,,
Exp_084,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_084,LSTM,Inlier,,,,,,,,,,,48,0.4,0.005,0.001,,,,,
Exp_084,CNN,Inlier,,,,,,,,,,,,0.3,0.005,,16,7,,,
Exp_084,Transformer,Inlier,,,,,,,,,,,,0.1,,0.001,,,2,24,2
Exp_085,RF,Inlier,15,20,0.4,,,,,,,,,,,,,,,,
Exp_085,XGB,Inlier,5,,,0.015,0.8,0.7,1.0,8.0,,,,,,,,,,,
Exp_085,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_085,LSTM,Inlier,,,,,,,,,,,16,0.4,0.02,0.002,,,,,
Exp_085,CNN,Inlier,,,,,,,,,,,,0.4,0.005,,32,3,,,
Exp_085,Transformer,Type2,,,,,,,,,,,,0.2,,0.001,,,4,32,1
Exp_086,RF,Inlier,8,15,0.7,,,,,,,,,,,,,,,,
Exp_086,XGB,Inlier,6,,,0.01,0.8,0.8,1.0,10.0,,,,,,,,,,,
Exp_086,SVR,Inlier,,,,,,,,,80.0,1.0,,,,,,,,,
Exp_086,LSTM,Inlier,,,,,,,,,,,48,0.4,0.005,0.001,,,,,
Exp_086,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,64,5,,,
Exp_086,Transformer,Inlier,,,,,,,,,,,,0.3,,0.0005,,,2,32,2
Exp_087,RF,Inlier,10,20,0.5,,,,,,,,,,,,,,,,
Exp_087,XGB,Inlier,5,,,0.015,0.8,0.9,1.0,5.0,,,,,,,,,,,
Exp_087,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_087,LSTM,Inlier,,,,,,,,,,,64,0.1,0.005,0.002,,,,,
Exp_087,CNN,Inlier,,,,,,,,,,,,0.3,0.01,,16,5,,,
Exp_087,Transformer,Type2,,,,,,,,,,,,0.2,,0.002,,,2,48,1
Exp_088,RF,Inlier,8,40,0.6,,,,,,,,,,,,,,,,
Exp_088,XGB,Inlier,3,,,0.01,0.9,0.7,5.0,1.0,,,,,,,,,,,
Exp_088,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_088,LSTM,Inlier,,,,,,,,,,,64,0.2,0.02,0.0005,,,,,
Exp_088,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,24,3,,,
Exp_088,Transformer,Inlier,,,,,,,,,,,,0.4,,0.002,,,2,48,2
Exp_089,RF,Inlier,12,30,0.4,,,,,,,,,,,,,,,,
Exp_089,XGB,Inlier,6,,,0.03,0.8,0.6,5.0,5.0,,,,,,,,,,,
Exp_089,SVR,Inlier,,,,,,,,,30.0,1.5,,,,,,,,,
Exp_089,LSTM,Inlier,,,,,,,,,,,16,0.2,0.01,0.002,,,,,
Exp_089,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,32,5,,,
Exp_089,Transformer,Inlier,,,,,,,,,,,,0.4,,0.001,,,4,48,2
Exp_090,RF,Inlier,15,40,0.7,,,,,,,,,,,,,,,,
Exp_090,XGB,Inlier,3,,,0.015,0.8,0.7,2.0,10.0,,,,,,,,,,,
Exp_090,SVR,Inlier,,,,,,,,,30.0,1.0,,,,,,,,,
Exp_090,LSTM,Inlier,,,,,,,,,,,64,0.3,0.01,0.001,,,,,
Exp_090,CNN,Inlier,,,,,,,,,,,,0.4,0.005,,32,5,,,
Exp_090,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,48,1
Exp_091,RF,Inlier,12,40,0.6,,,,,,,,,,,,,,,,
Exp_091,XGB,Inlier,3,,,0.03,0.7,0.9,5.0,10.0,,,,,,,,,,,
Exp_091,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_091,LSTM,Inlier,,,,,,,,,,,16,0.3,0.01,0.001,,,,,
Exp_091,CNN,Inlier,,,,,,,,,,,,0.3,0.01,,48,3,,,
Exp_091,Transformer,Type2,,,,,,,,,,,,0.4,,0.0005,,,2,64,2
Exp_092,RF,Inlier,15,15,0.7,,,,,,,,,,,,,,,,
Exp_092,XGB,Inlier,4,,,0.02,0.7,0.7,1.0,5.0,,,,,,,,,,,
Exp_092,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_092,LSTM,Inlier,,,,,,,,,,,24,0.1,0.001,0.001,,,,,
Exp_092,CNN,Inlier,,,,,,,,,,,,0.1,0.02,,32,7,,,
Exp_092,Transformer,Type2,,,,,,,,,,,,0.1,,0.001,,,2,32,1
Exp_093,RF,Inlier,6,40,0.3,,,,,,,,,,,,,,,,
Exp_093,XGB,Inlier,3,,,0.01,0.8,0.9,2.0,1.0,,,,,,,,,,,
Exp_093,SVR,Inlier,,,,,,,,,10.0,1.0,,,,,,,,,
Exp_093,LSTM,Inlier,,,,,,,,,,,32,0.4,0.02,0.002,,,,,
Exp_093,CNN,Inlier,,,,,,,,,,,,0.3,0.001,,24,7,,,
Exp_093,Transformer,Inlier,,,,,,,,,,,,0.4,,0.0005,,,2,24,1
Exp_094,RF,Inlier,6,30,0.7,,,,,,,,,,,,,,,,
Exp_094,XGB,Inlier,3,,,0.03,0.8,0.9,0.5,3.0,,,,,,,,,,,
Exp_094,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_094,LSTM,Inlier,,,,,,,,,,,16,0.3,0.01,0.001,,,,,
Exp_094,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,24,5,,,
Exp_094,Transformer,Type2,,,,,,,,,,,,0.3,,0.001,,,2,64,1
Exp_095,RF,Inlier,12,10,0.7,,,,,,,,,,,,,,,,
Exp_095,XGB,Inlier,5,,,0.02,0.6,0.9,0.5,10.0,,,,,,,,,,,
Exp_095,SVR,Inlier,,,,,,,,,30.0,1.0,,,,,,,,,
Exp_095,LSTM,Inlier,,,,,,,,,,,24,0.3,0.001,0.001,,,,,
Exp_095,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,24,3,,,
Exp_095,Transformer,Type2,,,,,,,,,,,,0.1,,0.002,,,2,32,1
Exp_096,RF,Inlier,8,15,0.6,,,,,,,,,,,,,,,,
Exp_096,XGB,Inlier,4,,,0.02,0.7,0.9,2.0,10.0,,,,,,,,,,,
Exp_096,SVR,Inlier,,,,,,,,,80.0,2.0,,,,,,,,,
Exp_096,LSTM,Inlier,,,,,,,,,,,16,0.3,0.001,0.002,,,,,
Exp_096,CNN,Inlier,,,,,,,,,,,,0.3,0.02,,24,3,,,
Exp_096,Transformer,Inlier,,,,,,,,,,,,0.2,,0.001,,,4,64,2
Exp_097,RF,Inlier,6,10,0.5,,,,,,,,,,,,,,,,
Exp_097,XGB,Inlier,3,,,0.03,0.7,0.6,1.0,5.0,,,,,,,,,,,
Exp_097,SVR,Inlier,,,,,,,,,100.0,2.0,,,,,,,,,
Exp_097,LSTM,Inlier,,,,,,,,,,,16,0.1,0.005,0.001,,,,,
Exp_097,CNN,Inlier,,,,,,,,,,,,0.2,0.001,,48,7,,,
Exp_097,Transformer,Type2,,,,,,,,,,,,0.1,,0.0005,,,2,16,2
Exp_098,RF,Inlier,6,20,0.4,,,,,,,,,,,,,,,,
Exp_098,XGB,Inlier,3,,,0.005,0.6,0.9,1.0,10.0,,,,,,,,,,,
Exp_098,SVR,Inlier,,,,,,,,,50.0,1.5,,,,,,,,,
Exp_098,LSTM,Inlier,,,,,,,,,,,32,0.2,0.005,0.002,,,,,
Exp_098,CNN,Inlier,,,,,,,,,,,,0.3,0.02,,24,5,,,
Exp_098,Transformer,Inlier,,,,,,,,,,,,0.4,,0.0005,,,4,32,1
Exp_099,RF,Inlier,6,30,0.3,,,,,,,,,,,,,,,,
Exp_099,XGB,Inlier,4,,,0.02,0.7,0.7,1.0,3.0,,,,,,,,,,,
Exp_099,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_099,LSTM,Inlier,,,,,,,,,,,16,0.1,0.001,0.002,,,,,
Exp_099,CNN,Inlier,,,,,,,,,,,,0.3,0.02,,16,5,,,
Exp_099,Transformer,Inlier,,,,,,,,,,,,0.4,,0.002,,,4,24,2
Exp_100,RF,Inlier,15,40,0.7,,,,,,,,,,,,,,,,
Exp_100,XGB,Inlier,3,,,0.03,0.9,0.8,0.5,5.0,,,,,,,,,,,
Exp_100,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_100,LSTM,Inlier,,,,,,,,,,,48,0.2,0.005,0.001,,,,,
Exp_100,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,64,3,,,
Exp_100,Transformer,Type2,,,,,,,,,,,,0.4,,0.002,,,4,24,1
