experiment,model,outlier_type,shap_inlier_val_rmse,shap_type1_val_rmse,shap_type2_val_rmse,shap_inlier_mean_abs_diff,shap_type1_mean_abs_diff,shap_type2_mean_abs_diff,shap_inlier_slope,shap_type1_slope,shap_type2_slope,shap_inlier_slope_dev,shap_type1_slope_dev,shap_type2_slope_dev,shap_inlier_max_jump,shap_type1_max_jump,shap_type2_max_jump,shap_inlier_slope_consistency,shap_type1_slope_consistency,shap_type2_slope_consistency,shap_inlier_val_rmse_zscore,shap_type1_val_rmse_zscore,shap_type2_val_rmse_zscore,shap_inlier_final_pred,shap_type1_final_pred,shap_type2_final_pred,shap_inlier_mean_abs_div,shap_type1_mean_abs_div,shap_type2_mean_abs_div,shap_inlier_late_div,shap_type1_late_div,shap_type2_late_div,shap_inlier_gap_ratio,shap_type1_gap_ratio,shap_type2_gap_ratio,shap_inlier_max_abs_div,shap_type1_max_abs_div,shap_type2_max_abs_div
Exp_001,RF,Inlier,0.20563376265319736,-0.06470558816973929,-0.24244197555929398,-0.040614387954848286,-0.013871842465773918,0.0341576892988744,0.08796289275484043,-0.04411759069267264,-0.12276755065139491,0.029020634649289466,-0.03499870655253833,-0.02203894396503986,0.13273522405433796,-0.004774872205071846,-0.11836726043174753,0.010798065411687888,-0.014945865700236835,-0.003524957621142639,0.005378598433039795,-0.030642339633273844,0.00375527642809035,0.0014826587156316405,-0.059231810304103766,0.0029347851272244875,0.015275737639553758,-0.07636249569481188,-0.00419596113615969,0.010333181081375304,-0.04445268677728234,-0.00262173492053515,0.006376465394334236,-0.015965655113266534,-0.005001620185222943,0.030394865561750674,-0.07549955300009215,-0.008313459667547868
Exp_001,XGB,Inlier,0.14461312083114702,-0.06481360840095315,-0.1729263609319361,-0.009895276854674569,-0.013465771403301382,0.01072680339096761,0.06308104433293736,-0.04411759069267264,-0.08621580813195946,0.020308406198491575,-0.03499870655253833,-0.019594428798016403,0.09006846024039553,-0.004691418447846413,-0.06713339513306403,0.00975821633747018,-0.014945865700236835,-0.004940317133324075,0.01693416796778642,-0.030779081811908957,-0.0025290931746460065,0.044775956432267616,-0.059231810304103766,-0.06085561818951415,0.020571084896040537,-0.07636249569481188,-0.012754208495109155,0.05515875534360274,-0.04445268677728234,-0.07098334897405095,0.005411903416363756,-0.015965655113266534,-0.002386227631110273,0.03256721106645853,-0.07574431540994113,-0.006740698715972705
Exp_001,SVR,Inlier,0.16203838853592942,-0.0648140891951032,-0.19646516789115628,0.07841099410046544,-0.013787384957615575,-0.07064729681732046,0.05945687611156567,-0.044298254248919394,-0.08914777737371193,0.020103287765206253,-0.03499870655253833,-0.016586763361968057,0.09984616713881937,-0.004330091335352892,-0.09698809320363637,0.015937375520492823,-0.014945865700236835,-0.00444754540686966,0.011578810184645199,-0.030779081811908957,-0.0032580741545078186,0.005426361034642466,-0.059231810304103766,-0.0004148788343285769,0.01167155798600771,-0.07620088150929205,-0.00453914100710205,0.005597169909397097,-0.04445382079985777,0.00043753400811752694,0.004605709597953438,-0.015804040927746697,-0.006499204645663754,0.022370944491261646,-0.0759249789661879,-0.007776293229588671
Exp_001,LSTM,Inlier,0.15689056222494185,-0.0648140891951032,-0.19427198602551962,0.08369605215345191,-0.013788083387514782,-0.08137549023484653,0.007430454658938036,-0.04429790205969418,-0.0044701722551723794,0.011984297599625719,-0.03499870655253833,-0.004240218052108108,0.08586093850204932,-0.004611070628574084,-0.07931403910087372,0.03673969310682399,-0.014945865700236835,-0.032431876198478364,0.01249543483690515,-0.030638419044961368,-0.00431541600254569,0.04334630349064884,-0.059231810304103766,-0.05575500317161359,0.014848593234261562,-0.07620088150929205,-0.010139685182064392,0.020597523333330935,-0.04445382079985777,-0.017833299489982496,0.0038208033144029384,-0.015663378160799112,-0.0029375607895654075,0.019332985921006133,-0.0759249789661879,-0.009247955414965531
Exp_001,CNN,Inlier,0.16513653848390092,-0.0648140891951032,-0.20134798689699263,0.08502942437861001,-0.013788083387514782,-0.08157004118182795,0.006850788023529262,-0.04429790205969418,-0.0059222915711416475,0.02005711437223101,-0.03499870655253833,-0.018206701635596335,0.0801686923234615,-0.004611070628574084,-0.06945962552513177,0.03709393647459717,-0.014945865700236835,-0.030171704372227198,0.019202041985462836,-0.030638419044961368,-0.00802285357436901,0.04259083169504514,-0.059231810304103766,-0.056109127383572106,0.017136812792208456,-0.07620088150929205,-0.01877782764912729,0.005419726010865101,-0.04445382079985777,-0.0007179442710585254,0.003036674502485668,-0.015663378160799112,-0.0015408023589531695,0.005001020964988145,-0.0759249789661879,0.003759255004116042
Exp_001,Transformer,Inlier,-0.18734296915178741,-0.06475380244569237,0.17447261539804004,-0.08436477401257048,-0.013970184920774174,0.0762081161451315,-0.02331859328925073,-0.04577633597381135,0.027190854353460057,-0.00868850735511061,-0.035362305472393725,0.02062119991885973,-0.10450008313103389,-0.001876930953851993,0.10027733679423477,0.02002249459404712,-0.014802007080043002,-0.005459933157792592,0.006491655180654528,-0.030387957373326134,0.004583852687194278,-0.011566610290125814,-0.05943029109903061,0.017143922229916394,0.006538286450035392,-0.07702393891471977,0.0014297153420412443,-0.003468411069530514,-0.044524479138823764,0.006976400035366143,0.001204469065916733,-0.015875243391215366,0.0017742777096585245,0.015002924803458077,-0.07578552954518115,-0.005732241599893526
Exp_002,RF,Inlier,0.11488424077727057,-0.0648140891951032,-0.13942183083266055,0.06618199295482352,-0.013787384957615575,-0.05494977226101596,0.04795922226844955,-0.04411759069267264,-0.07066756645222169,0.015688529809150663,-0.03499870655253833,-0.018161218173325135,0.07772411318069326,-0.004691418447846413,-0.07562911838410125,0.016817611956100532,-0.014945865700236835,-0.005970942920098314,0.029490579994245356,-0.030779081811908957,-0.029196305978789094,0.038429952781785764,-0.059231810304103766,-0.031709939181764964,0.022653638963320177,-0.07620088150929205,-0.020430533118785236,0.018269461925358825,-0.04445382079985777,-0.01363055298056738,0.029043994591864682,-0.015804040927746697,-0.028736932461733707,0.019900303173323555,-0.07574431540994113,-0.00782798917267271
Exp_002,XGB,Inlier,0.16279637142925982,-0.06847047403621424,-0.19004265374005036,-0.032170185636550906,-0.016230665854194623,0.016442857658004607,0.07539991105387894,-0.04832932081040023,-0.10118567278485799,0.012630516394252967,-0.036015196681999116,-0.026044026244005588,-0.055825579839466385,-0.006084082442929606,0.03432964317120835,-0.009001897754434352,-0.004388478413569717,-0.0012827117023476143,0.03406560972691727,-0.034858891541671856,-0.005862324039422284,0.060407763826049315,-0.05981937823898885,-0.08612452886725243,0.03298175820327459,-0.08080636318154046,-0.02368710669387425,0.0722709871228586,-0.04500069774964116,-0.09467697451381586,0.02017818570710764,-0.00040378021535419386,-0.013228879784885723,0.030363292249088805,-0.07916167714235928,-0.004970324376436346
Exp_002,SVR,Inlier,0.16115639209278182,-0.0648140891951032,-0.19266771166811053,0.07773957691554859,-0.013787384957615575,-0.07053144138396493,0.061647325042812715,-0.044298254248919394,-0.09131510987495162,0.0214310614978366,-0.03499870655253833,-0.019406745121580554,0.09876329321013468,-0.004330091335352892,-0.09589690885340453,0.01536309225450031,-0.014945865700236835,-0.004097296865178209,0.004043000884992433,-0.030779081811908957,0.0027835567030046605,0.001517098865561841,-0.059231810304103766,0.0037230246635628988,0.012550682426939776,-0.07620088150929205,-0.005387377350687227,0.014996570253283973,-0.04445382079985777,-0.008164724043790953,0.004153282909866348,-0.015804040927746697,-0.005012516950306363,0.023682266022127554,-0.0759249789661879,-0.010359451172328614
Exp_002,LSTM,Inlier,0.16624516811348497,-0.0648140891951032,-0.1989073437486981,0.10521927529920427,-0.013788083387514782,-0.1018379792730861,0.009365936937927583,-0.04429790205969418,-0.00984313734727253,0.012717283924930293,-0.03499870655253833,-0.010302109506706557,0.09870871748338823,-0.004611070628574084,-0.10269210622951021,0.03861461105342888,-0.014945865700236835,-0.03780085293103691,0.0034720482326206096,-0.030638419044961368,0.00042580972973243943,0.006732662605589679,-0.059231810304103766,-0.001981064703379681,0.0139543601454652,-0.07620088150929205,-0.011035445475131606,0.005637432627868647,-0.04445382079985777,-0.0018897547490998481,0.0037653749060565494,-0.015663378160799112,-0.004313050379942883,0.02446961945028293,-0.0759249789661879,-0.014155667303603924
